zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,power,test_FLAG
0.01,1,1.00000091668737,8.29085427359114e-07,6.56945996738395e-07,3.98270818591485e-07,5.25183719390541e-08,-3.81160638809578e-07,-0,1
0.02,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,-1.41331394176206e-18,1
0.02,1.01,1.0023537933949,-0.00245483833560693,0.000245672134551791,-0.000178418917321278,4.35891396187926e-05,-7.37378433480892e-06,-0,1
0.03,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,-9.42220555497277e-19,1
0.03,1.01,1.00254303677577,-0.00230874076218155,-0.000329327764156598,0.000149209723103681,-0.000147368848365778,9.56149437432479e-05,-9.45096726809012e-19,1
0.04,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,-7.06667018845447e-19,1
0.04,1.01,1.00084250631204,-0.000445940858663651,-6.63025616309947e-05,-0.000484858329044035,0.000252829083610416,-9.58100092754975e-05,-4.21526248127652e-21,1
0.05,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,-5.65334384145942e-19,1
0.05,1.02,1.00502597105478,-0.0054867603629564,0.00078062084777062,-0.000456277503367853,0.00021769695279533,-7.88753331100057e-05,-0,1
0.06,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,-4.71112414050134e-19,1
0.06,1.01,1.0006980506396,-0.000961472078722151,0.00120772322107869,-0.00115165618026522,0.000272278885907901,-6.25008521825854e-05,-6.97505265279866e-22,1
0.06,1.02,1.0070565378485,-0.007607288388622,0.00059055184518087,-0.00036873303963881,0.000350445511537466,-1.9136975439435e-05,-4.48697892925342e-19,1
0.07,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,-4.03810902203694e-19,1
0.07,1.02,1.00406929660186,-0.00386465664050606,0.000406453559881943,-0.00106455733383887,0.00053934322181504,-8.35038144421852e-05,-0,1
0.07,1.03,1.00777832944886,-0.00849618808992411,0.000978918370681958,-0.000405554693052409,0.000272382731070256,-0.000125556881645607,-2.09321503610012e-19,1
0.08,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,-3.53334711096401e-19,1
0.08,1.02,1.00615507743285,-0.00596409933691512,-0.000125532502697317,-0.000221720894158392,-9.90589758976671e-05,0.000257711762232003,-1.02242794148678e-18,1
0.08,1.03,1.00596371229132,-0.00588145890937678,-0.00023761250929746,0.000310513655924677,2.02536007152995e-05,-0.000173076697796064,-6.5505986965054e-19,1
0.08,1.04,1.00918862030561,-0.00974555349154368,0.00104274669707051,-0.000451485988170222,-7.23981144198389e-05,4.03561329513232e-05,-0,1
0.09,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,-3.14075417436625e-19,1
0.09,1.02,1.00365111456,-0.00305914266170302,0.000176205522475884,-0.00145509591267658,0.000791511141140561,-0.000102216807527319,-0,1
0.09,1.03,1.00810180456955,-0.00890704765679662,0.000907586816566887,-0.000357869223496798,0.000541250674746988,-0.000283394642208403,-3.93676041575917e-20,1
0.09,1.04,1.00797687286948,-0.00821452276532292,0.0010094362176725,-0.000953203776574401,0.000258341262176002,-7.46381999743443e-05,-0,1
0.09,1.05,1.01149706437757,-0.0121745993938262,0.0011955815433286,-0.000623048399412765,0.000190310683699224,-8.30672602265972e-05,-0,1
0.1,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,-2.82667961145694e-19,1
0.1,1.02,1.01097583320423,-0.0136433684763469,0.00241698052640332,-6.58823464149742e-05,0.00055678844588729,-0.000237973736639963,-7.59956693904428e-19,1
0.1,1.03,1.01385183682283,-0.0164336729100559,0.0023130705097882,-3.95416977845728e-05,0.000413886573350597,-0.000103248204891525,-1.01678161278173e-19,1
0.1,1.04,1.01019140473656,-0.01099348439399,0.00124153833136671,-0.000568727392132479,0.00013649926644222,-4.94393034007614e-06,-3.89443819719336e-19,1
0.11,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,-2.56970937328731e-19,1
0.11,1.02,1.00667537766757,-0.00805932187259072,0.00141079348049085,0.000471162885985614,-0.000726612012126429,0.000230977231676555,-5.66214735699873e-19,1
0.11,1.03,1.00749093438243,-0.00796260916776279,0.00159947591908599,-0.00159542630313261,0.000307087080688662,0.000162867574813679,-0,1
0.11,1.04,1.01179787708765,-0.013198260523283,0.00153452725191161,-0.000451623494211198,0.000586952158212266,-0.000267186895618271,-0,1
0.11,1.06,1.0133256110198,-0.0141251991754041,0.0014833361942735,-0.000861342901905541,0.000330109452702115,-0.000150315123048424,-0,1
0.12,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,-2.3555674110362e-19,1
0.12,1.01,0.999950439612349,0.00111002046354817,0.00020246328146138,-0.00173433695752823,0.000181916734451457,0.000291919948056237,-0,1
0.12,1.03,1.00700741528907,-0.0075339299364142,0.00191303373388281,-0.00192221696271335,0.000382588864905255,0.000155439530305099,-3.35153385551614e-20,1
0.12,1.05,1.01074847502538,-0.0120193948935697,0.00252060811806802,-0.00130255317692724,2.55406877708071e-05,2.9567671433444e-05,-3.73254212692133e-19,1
0.12,1.07,1.0158899361278,-0.0168717703806151,0.00160469985280603,-0.000704876126506773,0.000157755745354721,-7.35856323591048e-05,-1.00452295583135e-20,1
0.13,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,-2.17437029710819e-19,1
0.13,1.02,1.00082698977689,0.000307497822531944,-0.000868274527934738,-0.000985510780906333,0.00150452263725628,-0.000782849643857661,-0,1
0.13,1.04,1.01086403585761,-0.0103964291524931,-0.000913222643976754,0.000738776278391777,-0.000715290087912054,0.000424414388679956,-0,1
0.13,1.06,1.01618784845993,-0.0180614204653866,0.00229935833264858,-0.000474761457266173,0.000113595903634106,-6.2421613735365e-05,-0,1
0.14,1,1.00000041215299,4.12144836281876e-07,4.12128530404831e-07,4.12104077730837e-07,4.12071475189108e-07,4.12030719708856e-07,-2.01905843486416e-19,1
0.14,1.01,1.0064158289933,-0.00516417593177019,-0.00350232173902647,0.00233995474412988,-0.000114507324791937,2.76468868910474e-05,-6.42695936764818e-19,2
0.14,1.02,1.00086375578352,-0.000424693799400294,0.000840080618520045,-0.00202715688796002,0.00119448160599849,-0.000444089587285546,-6.1643757768032e-19,1
0.14,1.04,1.00750359592993,-0.00637224593622683,-0.00052683985981879,-0.00124524499090285,0.000724339015190869,-8.13177430159381e-05,-2.70102761890227e-19,1
0.14,1.05,1.01428432490123,-0.0160874735021371,0.00217207519555601,-0.000820923869383337,0.000792894209835959,-0.000338654961287655,-0,1
0.14,1.06,1.01551353643006,-0.0162707899868109,0.00062680829711555,0.000264168142980187,-0.000190595468161933,5.90714869907501e-05,-0,1
0.14,1.07,1.01638981235805,-0.0179016013281599,0.00230340634415641,-0.000995548735679393,0.00040553618707522,-0.000199446975637202,-0,1
