zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,power,test_FLAG
0.01,1,1,0,0,0,0,0,-0,1
0.02,1,1,0,0,0,0,0,-0,1
0.03,1,1,0,0,0,0,0,-0,1
0.03,1.01,1.00311436553672,-0.00351233943384319,0.000526317224973794,-0.000192332358522459,7.41725027857826e-05,-7.75982111131815e-06,-3.10782002203291e-07,1
0.04,1,1,0,0,0,0,0,-0,1
0.04,1.01,1.00274013094004,-0.00284838712250107,0.000157276443187647,-0.000142822914037637,0.000134548470925974,-3.83221819971064e-05,-2.72338461022966e-08,1
0.05,1,1,0,0,0,0,0,-0,1
0.05,1.01,1.00221593074764,-0.00193677634523864,-0.00030965482949884,-4.53058571527939e-05,0.000100109739601276,-2.18798560496802e-05,-4.27016460231039e-07,1
0.06,1,1,0,0,0,0,0,-0,1
0.06,1.01,1.00237995495057,-0.00219293732780832,-9.99810315868764e-05,-0.00021733328461231,0.00013139165839001,1.32866632912747e-06,-0,1
0.07,1,1,0,0,0,0,0,-0,1
0.07,1.01,1.00190644173375,-0.00122953304864057,-0.000842112286640936,0.000163236000893495,-4.95456468484999e-05,5.39368821024246e-05,-3.23891969364752e-21,1
0.08,1,1.00011020173052,-1.11314501626257e-06,-7.57240043547384e-05,-0.000125426764963469,8.74069079334261e-05,7.12762513844664e-06,-4.86168576815716e-07,1
0.08,1.01,1.00147100364695,-0.000591305475993026,-0.000976385754164201,2.71352253596574e-06,8.09789122210529e-05,1.54187782708588e-05,-1.69307487044253e-09,1
0.08,1.02,1.00526857791935,-0.00536405512454741,-0.000142183114767056,0.000447762476346661,-0.000273087397411571,6.53615732215078e-05,-3.1782183453999e-08,1
0.08,1.03,1.00891940108706,-0.00993409716834989,0.00116298208843578,-0.000179612420159872,3.15881978617466e-05,2.06863214621852e-06,-1.03798733685617e-08,1
0.09,1.01,1.00147924922847,-0.000858436408515213,-0.000348938305880172,-0.000605860958669808,0.000393876829540465,-5.74667655926545e-05,-4.75353643063546e-08,1
0.09,1.02,1.00742129942377,-0.00828226939590823,0.00047195608773235,0.000447214829704066,-3.43117334794348e-05,-2.15127705816072e-05,-7.71500890831505e-07,1
0.09,1.03,1.00938836177743,-0.0107431601187362,0.00172524919357173,-0.0006134900871153,0.000321831123064508,-7.64614919955236e-05,-7.72454724325582e-08,1
0.1,1,1.00000091877416,8.31532344204169e-07,6.57095960733308e-07,3.9621462108292e-07,4.97468382235597e-08,-3.81017270455348e-07,-0,1
0.1,1.01,1.00136100006473,-0.00104957921962163,0.000407187628952711,-0.0013016121987454,0.000722498632750472,-0.000137071389607512,-6.30777406484354e-07,1
0.1,1.02,1.00656962259921,-0.00764695464111521,0.00146423586712339,-0.000819149881818872,0.000641305947011391,-0.000206683594575252,-1.20965037240686e-07,1
0.1,1.03,1.01038112270209,-0.0120709630002437,0.00211898448273323,-0.000799141419045959,0.000450230674171597,-7.79030076138441e-05,-2.10241505936207e-21,1
0.11,1,1.00000091896633,8.31527543862938e-07,6.57022687612769e-07,3.96035890866378e-07,4.96742764123935e-08,-3.8088007426802e-07,-0,1
0.11,1.01,1.00056614349117,0.000211531040224243,-0.000132825337838471,-0.00124392616872091,0.000767021026554638,-0.000165520420217211,-0,1
0.11,1.02,1.00768145985161,-0.00982515196587821,0.00308515266237068,-0.00123947800739917,0.000269517490085832,3.08764235308587e-05,-4.96780295623154e-07,1
0.11,1.04,1.01207458520857,-0.0138980425749889,0.00238273457044747,-0.000733888790673423,0.000186155223695857,-9.25781272137252e-06,-5.77334240414064e-23,1
0.12,1,1.00000091896614,8.31527767724689e-07,6.57022213027557e-07,3.96036360445247e-07,4.96739444430523e-08,-3.80879776605284e-07,-0,1
0.12,1.03,1.00942626445995,-0.0104037358427423,0.000844829715875138,5.1544199870957e-05,0.000173358123198736,-8.99302278332561e-05,-4.40096931445191e-09,1
0.12,1.04,1.01248031071089,-0.0145036352628401,0.0027247127046934,-0.000998366676611591,0.000319963937106017,-2.06995906734043e-05,-0,1
