zeta,omega_ratio,solution_1,solution_2,solution_3,solution_4,solution_5,solution_6,power,test_FLAG
0.01,1,1.00000091668737,8.29085427359114E-07,6.56945996738395E-07,3.98270818591485E-07,5.25183719390541E-08,-3.81160638809578E-07,0,1
0.02,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.41331394176206E-18,1
0.02,1.01,1.0023537933949,-0.00245483833560693,0.000245672134551791,-0.000178418917321278,4.35891396187926E-05,-7.37378433480892E-06,0,1
0.03,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-9.42220555497277E-19,1
0.03,1.01,1.00254303677577,-0.00230874076218155,-0.000329327764156598,0.000149209723103681,-0.000147368848365778,9.56149437432479E-05,-9.45096726809012E-19,1
0.04,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-7.06667018845447E-19,1
0.04,1.01,1.00084250631204,-0.000445940858663651,-6.63025616309947E-05,-0.000484858329044035,0.000252829083610416,-9.58100092754975E-05,-4.21526248127652E-21,1
0.05,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-5.65334384145942E-19,1
0.06,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-4.71112414050134E-19,1
0.06,1.01,1.0006980506396,-0.000961472078722151,0.00120772322107869,-0.00115165618026522,0.000272278885907901,-6.25008521825854E-05,-6.97505265279866E-22,1
0.06,1.02,1.0070565378485,-0.007607288388622,0.00059055184518087,-0.00036873303963881,0.000350445511537466,-1.9136975439435E-05,-4.48697892925342E-19,1
0.07,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-4.03810902203694E-19,1
0.08,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-3.53334711096401E-19,1
0.09,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-3.14075417436625E-19,1
0.1,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-2.82667961145694E-19,1
0.11,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-2.56970937328731E-19,1
0.12,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-2.3555674110362E-19,1
0.12,1.01,0.999950439612349,0.00111002046354817,0.00020246328146138,-0.00173433695752823,0.000181916734451457,0.000291919948056237,0,1
0.13,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-2.17437029710819E-19,1
0.14,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-2.01905843486416E-19,1
0.15,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.8844547833577E-19,1
0.15,1.01,1.00447402966774,-0.00316835136728165,-0.00109555832854227,-0.00117419916299555,0.000713703279339131,0.000252797393915289,0,1
0.16,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.76667655967813E-19,1
0.17,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.66275457543159E-19,1
0.18,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.57037946086996E-19,1
0.19,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.48772802865377E-19,1
0.2,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.41334172841541E-19,1
0.21,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.34603982854494E-19,1
0.22,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.28485627564149E-19,1
0.23,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.22899302539252E-19,1
0.24,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.17778504072016E-19,1
0.25,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.13067369036317E-19,1
0.26,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.08718628624135E-19,1
0.27,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.04692016806767E-19,1
0.28,1,1.00000041215299,4.12144836281876E-07,4.12128530404831E-07,4.12104077730837E-07,4.12071475189108E-07,4.12030719708856E-07,-1.00953019839733E-19,1
0.28,1.01,1.00268781090798,2.82178981168388E-05,-0.0008138254635431,-0.00414515467830228,0.00180728134709826,0.000438090103670331,0,1
0.29,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-9.7471884442536E-20,1
0.29,1.01,1.00166963592663,-0.000278133012487032,0.00142785521072321,-0.00399206010463139,2.75242944221961E-05,0.00114760140625668,-4.08957963625973E-20,1
0.29,1.02,0.99506823303612,0.00350717301989538,0.00542813522530036,-0.0042696342927173,0.000611172887114221,-0.000342703539930812,0,1
0.29,1.03,1.00313218407326,-0.00279952286000661,0.00190371911807087,-0.0011489038883163,-0.0025977002742859,0.00151255237007647,0,1
0.3,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-9.42228245744422E-20,1
0.31,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-9.11833812880576E-20,1
0.31,1.01,1.00140704290443,-0.000308413460843851,0.000844994242661002,-0.00369035565227973,0.0017871391181811,-3.79865116955815E-05,0,1
0.31,1.02,1.00301830195627,8.04426156244286E-06,-0.000461162628715579,-0.00529951444486804,0.0025352365242633,0.000201471765074494,-3.52670040665049E-19,1
0.32,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-8.83339030455555E-20,1
0.32,1.01,1.00241946148827,0.000100912009876521,0.000447357552059343,-0.00537934161635547,0.00161105000041286,0.000802979928398496,0,1
0.32,1.02,0.998975778765175,0.000276326186187732,0.00432197289886011,-0.00524827433240976,0.00231900270897956,-0.000642426708320983,-8.57545564672477E-19,1
0.33,1,1.00000041215299,4.12144836078292E-07,4.12128530201255E-07,4.12104077527273E-07,4.1207147498556E-07,4.12030719505328E-07,-8.56571203117305E-20,1
