zeta,omega_ratio,solution_1,solution_2,solution_3,power,test_FLAG
0.01,1,1.00000082415952,8.24143031212958e-07,8.24110033298847e-07,-6.45935459760501e-19,1
0.02,1,1.00000082415939,8.24142998572401e-07,8.24110196612654e-07,-3.22968779065388e-19,1
0.02,1.01,1.00248540828615,-0.00250030931715553,1.73249536695563e-05,-9.59729668634349e-19,1
0.03,1,1.00000082415935,8.2414298791426e-07,8.24110251013582e-07,-2.15312752537473e-19,1
0.03,1.01,1.0017220632945,-0.00133788023948187,-0.000381759820828543,-0,1
0.04,1,1.00000082415933,8.24142982085589e-07,8.24110278491602e-07,-1.61484651854773e-19,1
0.04,1.01,1.00131535948097,-0.000730720778936955,-0.000582215353119775,-0,1
0.05,1,1.00000082415932,8.24142978921453e-07,8.24110294645347e-07,-1.29187763434551e-19,1
0.05,1.01,1.00530500450317,-0.0067169207136993,0.0014143396264194,-0,1
0.05,1.02,1.00493149888681,-0.00495914965605523,3.00268130855491e-05,-0,1
0.06,1,1.00000082415931,8.24142976756518e-07,8.24110305470022e-07,-1.07656492838394e-19,1
0.06,1.01,1.00613519972539,-0.00795415370026245,0.00182137707159891,-0,1
0.06,1.02,1.00391365207508,-0.00343269849761849,-0.000478577520609475,-0,1
0.07,1,1.0000008241593,8.24142975202206e-07,8.24110313241583e-07,-9.22770081357782e-20,1
0.07,1.01,1.00467697346444,-0.00575467606971225,0.00108012522239471,-0,1
0.07,1.02,1.00750488489204,-0.00881883680246972,0.00131632793775282,-0,1
0.07,1.03,1.0088292302934,-0.0096736424262861,0.000846743390471853,-3.76107768295376e-19,1
0.08,1,1.0000008241593,8.24142974147494e-07,8.24110319292298e-07,-8.07423915053522e-20,1
0.08,1.01,1.0035022534937,-0.00400351401840321,0.000503683574183319,-0,1
0.08,1.02,1.00868262031233,-0.0105695035040338,0.0018892585881487,-0,1
0.08,1.03,1.00677611574532,-0.00655572873033489,-0.000218057269394681,-0,1
0.09,1,1.00000082415929,8.24142973314827e-07,8.24110323566657e-07,-7.17710211324201e-20,1
0.09,1.01,1.00258222447881,-0.00266034732793245,8.05473577658847e-05,-8.92435761192617e-19,1
0.09,1.02,1.00978696509904,-0.0122298499500108,0.00244526039845497,-0,1
0.09,1.03,1.00662204417048,-0.00635926575276305,-0.000260447301573839,-4.23362447949794e-19,1
0.1,1,1.00000082415929,8.24142972315626e-07,8.24110327452438e-07,-6.45939236919805e-20,1
0.1,1.01,1.00162441162402,-0.0011736824335306,-0.000448306657262905,-0,1
0.1,1.02,1.00585239460392,-0.0063581788216668,0.000508160960843631,-3.19007476358284e-19,1
0.1,1.03,1.01161206706528,-0.0138141804900887,0.00220444334750359,-0,1
0.1,1.04,1.00886834822139,-0.00860366960003352,-0.000262392011843489,-5.76129511022247e-19,1
0.11,1,1.00000082415929,8.24142971982559e-07,8.24110330116973e-07,-5.8721752267652e-20,1
0.11,1.01,1.00291898226323,-0.00317816658748621,0.000261609334479636,-1.14904066140211e-18,1
0.11,1.02,1.0114620749986,-0.0147399762878181,0.00328027673562661,-0,1
0.11,1.03,1.00713325771908,-0.00713684437467339,5.91819711615331e-06,-5.29855410039194e-19,1
0.12,1,1.00000082415928,8.24142971371937e-07,8.24110332725997e-07,-5.38282755657392e-20,1
0.12,1.01,0.997739808069021,0.00462825705303526,-0.00236564159968825,-0,1
0.12,1.02,0.997458653082818,0.0062661019850618,-0.00372237965338652,-0,1
0.12,1.03,1.00353842418114,-0.00175001323488537,-0.00178607918894666,-9.40683932832926e-19,1
0.12,1.04,1.00508930574149,-0.00292409055516627,-0.00216292901108872,-3.08888929624688e-19,1
0.12,1.05,1.01472010737153,-0.0162418871838927,0.00152402134542142,-0,1
0.13,1,1.00000082415928,8.24142970816825e-07,8.24110334835421e-07,-4.96876410518248e-20,1
0.13,1.01,1.00169820634974,-0.00130663613177912,-0.000389146804115763,-0,1
0.13,1.02,1.00351065970785,-0.00286088420747486,-0.000647398150806446,-6.99769794351223e-19,1
0.13,1.03,1.00784184299914,-0.00812811251321581,0.000288598222520414,-0,1
0.13,1.04,1.01424790543466,-0.0166117636956812,0.00236614244577777,-0,1
0.13,1.05,1.01572447703585,-0.0177395555547335,0.00201731970002412,-0,1
0.13,1.06,1.01402951180059,-0.0141662160243268,0.000138904624665988,-9.06762321334221e-21,1
0.14,1,1.00000082415928,8.24142970483758e-07,8.24110336611778e-07,-4.61385254805149e-20,1
0.14,1.01,1.00273885999031,-0.00288834440319592,0.000151908646290441,-4.03397329351474e-19,1
0.14,1.02,1.00928122599245,-0.0115069770669234,0.00222812803582444,-3.41560070889515e-19,1
0.14,1.03,1.01474636401159,-0.0185421732364793,0.00379814019653012,-2.95084733924377e-20,1
0.14,1.04,1.01191411383696,-0.013177509184538,0.0012656821612513,-4.08405758451039e-19,1
0.14,1.05,1.01660543396089,-0.0190962227475771,0.00249303136120817,-3.11044534625292e-20,1
0.14,1.06,1.01505884275575,-0.015666673623517,0.000610029545947583,-0,1
0.15,1,1.00000082415928,8.24142970261714e-07,8.2411033816609e-07,-4.30626251152435e-20,1
0.15,1.01,1.00015876695751,0.000977414868186586,-0.00113375741800076,-4.51137691143046e-19,1
0.15,1.02,0.996138252349318,0.00820318886392814,-0.00433906407686433,-2.58076539178832e-19,1
0.15,1.03,1.00102596702669,0.00210245292501146,-0.00312609150766991,-0,1
0.15,1.04,1.00297668887418,0.000260129186143502,-0.00323453248929451,-0,1
0.15,1.05,1.01359450191287,-0.0146197380082943,0.00102748025005191,-6.98394269364929e-19,1
0.15,1.06,1.01795926123331,-0.0200483117678637,0.00209125043833443,-0,1
0.15,1.07,1.01599878742753,-0.0160772619453036,8.06336633164465e-05,-0,1
0.16,1,1.00000082415928,8.24142969984158e-07,8.24110339553869e-07,-4.03712121393698e-20,1
0.16,1.01,1.00161636442352,-0.00119329326407788,-0.000420647372916982,-9.06589818089897e-20,1
0.16,1.02,1.0031981779891,-0.00235570398820111,-0.000840098093433759,-0,1
0.16,1.03,1.00439472326259,-0.00294877938443812,-0.00144361551068118,-0,1
0.16,1.04,1.00324845804464,-0.000165708391884103,-0.00308046336249735,-3.11067343801174e-19,1
0.16,1.05,1.00613271374616,-0.00335660712341752,-0.00277386525206414,-0,1
0.16,1.06,1.01259585216288,-0.012046019190228,-0.000547631372818898,-5.73727109882507e-19,1
0.16,1.07,1.01309686743409,-0.0117479214849486,-0.00134678587126257,-1.21320481002266e-19,1
0.17,1,1.00000082415928,8.24142969706602e-07,8.24110340719603e-07,-3.79964358606623e-20,1
0.17,1.01,0.999801980363396,0.00156204076061278,-0.00136159867220278,-0,1
0.17,1.02,0.99629468698373,0.00796541138208876,-0.00425772110585664,-2.78879324441432e-19,1
0.17,1.03,0.996974951052425,0.00814372489876141,-0.00511634611103982,-0,1
0.17,1.04,1.00668354742359,-0.0053560851437725,-0.00132517449784382,-1.16613477479194e-18,1
0.17,1.05,1.01112308584273,-0.0108578012425833,-0.000263042612877444,-0,1
0.17,1.06,1.01888806950111,-0.0214082125562144,0.0025223416407622,-0,1
0.17,1.07,1.0202051216615,-0.0223794070279403,0.00217644421933319,-2.08255008633441e-20,1
0.17,1.08,1.01835677176282,-0.0186537594394541,0.00029910882582759,-5.21915389921263e-19,1
0.18,1,1.00000082415928,8.24142969540069e-07,8.24110341829826e-07,-3.58855235211425e-20,1
0.18,1.01,1.00094469840363,-0.000234524557102348,-0.000707748132031566,-1.07234095882268e-18,1
0.18,1.02,0.99905706894636,0.00382259278767536,-0.00287728450499458,-3.33084308964736e-19,1
0.18,1.03,0.996598193449674,0.00872229277654878,-0.00531815691726188,-0,1
0.18,1.04,1.00513830205374,-0.00302831207077981,-0.00210770259221313,-9.3967995007699e-19,1
0.18,1.05,1.0044120804969,-0.000863206628569379,-0.00354662903362799,-1.12007720613882e-18,1
0.18,1.06,1.01353704477025,-0.0134310645503896,-0.000103779678334438,-6.30840514569779e-20,1
0.18,1.07,1.01853443393832,-0.0198883084069227,0.00135603391288003,-0,1
0.18,1.08,1.02121518816241,-0.0228622639268854,0.0016491937831893,-0,1
0.19,1,1.00000082415928,8.24142969262513e-07,8.24110342773515e-07,-3.39968124014835e-20,1
0.19,1.01,1.00157274103942,-0.00111470710798442,-0.000455610665139871,-0,1
0.19,1.02,1.00278606892686,-0.00169930964976831,-0.00108438488182249,-0,1
0.19,1.03,1.00256427235165,-0.000193505960816391,-0.00236843840229496,-0,1
0.19,1.04,1.00009119956574,0.00464769907883807,-0.00473661541968053,-0,1
0.19,1.05,1.0067403177748,-0.00424697557795528,-0.00249110165862364,-0,1
0.19,1.06,1.00675847588081,-0.00323550455306377,-0.0035207718796207,-0,1
0.2,1,1.00000082415928,8.24142969040468e-07,8.24110343606183e-07,-3.22969723323348e-20,1
0.2,1.01,1.00157797009245,-0.00109220950209372,-0.000483338524322116,-0,1
0.2,1.02,1.00287797109789,-0.00187460432150052,-0.00100099090001823,-0,1
0.2,1.03,1.00359967740133,-0.00178427615344832,-0.00181307176985904,-0,1
0.2,1.04,1.00280257229207,0.000477202383067125,-0.00327748735942182,-8.23313710378986e-19,1
0.2,1.05,1.00239320374016,0.0021708136565324,-0.00456177278688526,-8.63891806824107e-19,1
0.2,1.06,1.01279399760652,-0.0122714072783146,-0.000520391569966124,-0,1
0.2,1.07,1.01590338592267,-0.0159757654247467,7.45402935329691e-05,-9.24704311637153e-20,1
0.2,1.08,1.02165972231821,-0.0235399868509913,0.00188238298283746,-0,1
0.2,1.09,1.02348987293778,-0.0253292868497003,0.00184149454594785,-0,1
0.21,1,1.00000082415927,8.2414296909598e-07,8.24110344549872e-07,-3.07590217513311e-20,1
0.21,1.01,1.00169840222412,-0.00133995517575184,-0.000356022328084197,-4.90814422840422e-19,1
0.21,1.02,1.00339629883443,-0.00260103251516352,-0.000792892463108912,-0,1
0.21,1.03,1.00443194149964,-0.0030331938427247,-0.00139641815858184,-0,1
0.21,1.04,1.00545952032047,-0.00353364647509165,-0.00192358552484659,-1.27730571520087e-18,1
0.21,1.05,1.00577165198382,-0.00288944341521466,-0.00287996425346367,-7.86036491188546e-19,1
0.21,1.06,1.00535093495962,-0.00113266176823354,-0.00421607340769985,-0,1
0.21,1.07,1.01650074251307,-0.0168655687731035,0.000366986804744429,-5.55053450912976e-20,1
0.21,1.08,1.0200633169925,-0.0212279319001442,0.00116673662402713,-5.7893080405643e-19,1
0.21,1.09,1.02233779557483,-0.0235854386491111,0.00124972308641143,-0,1
0.21,1.1,1.02402070812409,-0.0252100667652334,0.00119140305992471,-3.21099836690899e-19,1
0.22,1,1.00000082415927,8.24142968873935e-07,8.24110345104984e-07,-2.93608848071268e-20,1
0.22,1.01,1.00126827700427,-0.00061483374825784,-0.000651021697642878,-0,1
0.22,1.02,1.00144664086445,0.000326987307433264,-0.001771254454716,-0,1
0.22,1.03,0.999790452097398,0.0038487294494591,-0.0036368488697077,-1.04191708464952e-18,1
0.22,1.04,0.997204997859819,0.00891098174811111,-0.00611369377023036,-3.93906843786661e-21,1
0.22,1.05,1.00684564365925,-0.00446390813397339,-0.00237949265535334,-1.56664359460261e-19,1
0.22,1.06,1.00726500198875,-0.00398665850603017,-0.00327614437638153,-0,1
0.22,1.07,1.00801753053862,-0.00408623489256549,-0.00392913725511153,-0,1
0.22,1.08,1.02295287287637,-0.0255712637740411,0.00262051296887507,-5.86466488400333e-19,1
0.22,1.09,1.02529729132071,-0.0280761033520145,0.00278089407644028,-6.23296031699652e-19,1
0.22,1.1,1.02237614502805,-0.0226859118813796,0.000311809005635295,-0,1
0.23,1,1.00000082415927,8.24142968596379e-07,8.24110345826629e-07,-2.80843249594118e-20,1
0.23,1.01,1.00140562396681,-0.000884086295856074,-0.000519113611248827,-1.7439903401905e-19,1
0.23,1.02,1.00244877616992,-0.00122746414870361,-0.00121893627711235,-0,1
0.23,1.03,1.00260816410711,-0.000379978482422904,-0.00222585286398948,-9.33889020721561e-19,1
0.23,1.04,1.00102650015038,0.00319831790612385,-0.00422253299523926,-0,1
0.23,1.05,0.99979051289384,0.00616551400943383,-0.00595378587901803,-0,1
0.23,1.06,1.01049464823391,-0.00884192761166423,-0.00165052108994759,-0,1
0.23,1.07,1.01358230619736,-0.0124960819525128,-0.00108406337589275,-1.81233678161417e-19,1
0.23,1.08,1.0177751569592,-0.0177369890272436,-3.60485369004871e-05,-0,1
0.23,1.09,1.02152824639372,-0.0224271841657866,0.000901020002551667,-7.18082821892261e-19,1
0.23,1.1,1.0241792756037,-0.025433800219961,0.00125656847649923,-1.56641305550679e-19,1
0.23,1.11,1.02513068924533,-0.0258938884169932,0.000765204776862953,-0,1
0.24,1,1.00000082415927,8.2414296865189e-07,8.24110346326229e-07,-2.69141450687181e-20,1
0.24,1.01,1.00139201146813,-0.000813624463805851,-0.000575964924257287,-0,1
0.24,1.02,1.00243167312583,-0.00123278237317907,-0.00119651378329675,-2.28543597972409e-19,1
0.24,1.03,1.00292096953378,-0.000854362944942067,-0.00206427362349664,-9.58988940304477e-19,1
0.24,1.04,1.0025339595971,0.000843719491536265,-0.0033753903328063,-1.38213522457366e-18,1
0.24,1.05,1.00116362679109,0.00406628017762047,-0.00522766437992552,-3.10930091688738e-20,1
0.24,1.06,1.00251149756694,0.00314723628115354,-0.00565653488382093,-0,1
0.24,1.07,1.01432906000994,-0.0136270450228874,-0.000699853689874375,-1.86981438046058e-19,1
0.24,1.08,1.01896377555746,-0.0195686457961483,0.000606991560940944,-4.47994552938394e-19,1
0.24,1.09,1.02182452017125,-0.0228500241461674,0.00102758535197696,-2.4089919669093e-19,1
0.24,1.1,1.02410336403196,-0.0253319251487253,0.00123060545143749,-2.73766369469472e-19,1
0.24,1.11,1.02605970515701,-0.0273001565190139,0.00124245747099294,-0,1
0.25,1,1.00000082415927,8.24142968485357e-07,8.24110346825829e-07,-2.58375795442493e-20,1
0.25,1.01,1.00114343693343,-0.000514739784985264,-0.000626272141836074,-5.13677276045644e-19,1
0.25,1.02,1.00212180368435,-0.000755887952446836,-0.0013635392406978,-5.07178767352992e-20,1
0.25,1.03,1.00245437423086,-2.55461264944899e-05,-0.00242650023891308,-0,1
0.25,1.04,1.0023871169141,0.00115492166654365,-0.00353975342215573,-0,1
0.25,1.05,1.00188877473678,0.00305862599834885,-0.00494516131400976,-0,1
0.25,1.06,1.00165066216127,0.00438097939350054,-0.00602944031513784,-4.0308773956822e-19,1
0.25,1.07,1.01273552821307,-0.0111112174154632,-0.00162215446561932,-0,1
0.25,1.08,1.01476312485007,-0.0133017523883017,-0.00145924978960317,-9.37767468008635e-19,1
0.25,1.09,1.01926243852515,-0.0189770337602129,-0.000283324568420715,-0,1
0.25,1.1,1.02207879399978,-0.0223082311606034,0.000231482016917348,-3.93903201128644e-19,1
0.25,1.11,1.02428898091285,-0.0246103611008688,0.000323384964209998,-0,1
0.26,1,1.00000082415927,8.24142968429846e-07,8.24110347436452e-07,-2.48438267359684e-20,1
0.26,1.01,1.00123707670567,-0.000604501790222137,-0.000630151914408852,-0,1
0.26,1.02,1.00188233138238,-0.000311932968465795,-0.0015680252750914,-0,1
0.26,1.03,1.00223123619192,0.000158755321860036,-0.00238765769837486,-1.23304478958477e-18,1
0.26,1.04,1.00229378715794,0.00133956619061737,-0.00363106995633201,-0,1
0.26,1.05,1.00121428516426,0.00406320468945267,-0.00527525014926302,-0,1
0.26,1.06,1.00127391117302,0.00499960019936548,-0.00627131224877488,-0,1
0.26,1.07,1.01099077087657,-0.0085282144748293,-0.00246039871881509,-0,1
0.26,1.08,1.01235219907167,-0.00965260679257154,-0.00269747090181641,-5.7725148366824e-19,1
0.26,1.09,1.01408667432309,-0.0111633505951814,-0.00292124550876588,-0,1
0.27,1,1.00000082415927,8.24142968318824e-07,8.24110347880541e-07,-2.39236852258336e-20,1
0.27,1.01,1.00127204060381,-0.000708362202679616,-0.000561253366207055,-4.87434985457256e-19,1
0.27,1.02,1.0022706486051,-0.00100690265901545,-0.00126136835728508,-4.03132105052853e-19,1
0.27,1.03,1.00266017758072,-0.000381588075164666,-0.00227625976758695,-0,1
0.27,1.04,1.00228560891014,0.00138371014952234,-0.00366703692843611,-0,1
