zeta,omega_ratio,solution_1,solution_2,solution_3,power,test_FLAG
0.01,1,1.00025110464318,-0.000370922905448101,0.000122290529371339,-0,1
0.02,0.99,0.997455025892396,0.00254625228876858,1.24460146119511e-06,-9.08221456334551e-19,1
0.02,1,0.999733806278763,0.000398284138492526,-0.000129617883242128,-8.67237211908493e-19,1
0.02,1.01,1.00245270275029,-0.00245086225032187,5.83407333877779e-07,-9.18603135765555e-19,1
0.03,0.99,-0.996305131522161,-0.00428539611467355,0.000588005419539371,-0,1
0.03,1,-0.998738900819336,-0.00190216148984135,0.000638590230813503,-0,1
0.03,1.01,-1.00129651859895,0.000706362170799338,0.000587732924838428,-0,1
0.04,0.98,-0.994843187250552,-0.00515814160584319,-1.24558588827468e-06,-2.70493171599645e-19,1
0.04,0.99,-0.99836901495491,-0.00116618673028804,-0.000467321456342523,-1.57128030707081e-18,1
0.04,1,-1.00301214309292,0.0045085212571258,-0.0014988502736607,-0,1
0.04,1.01,-1.00214757466895,0.00199686763500984,0.000148282980244898,-9.24508611950637e-19,1
0.05,0.98,-0.995050151286562,-0.00484882066505146,-0.00010360244495488,-1.71806458920358e-19,1
0.05,0.99,-0.999082658808174,-0.000111649027887978,-0.000808214675103644,-0,1
0.05,1,-0.996789605175865,-0.00482312028329448,0.00161025326177053,-0,1
0.05,1.01,-1.00495324311856,0.00619138872411831,-0.00124056910469969,-0,1
0.05,1.02,-1.00350580715283,0.00282147426160181,0.000681956810510919,-0,1
0.06,0.97,-0.992614936117302,-0.00717329848181319,-0.000214392351126096,-0,1
0.06,0.98,-0.993798101739221,-0.00675002967136612,0.000545557927583792,-0,1
0.06,0.99,-0.995855298351399,-0.00496312068299891,0.000815896934606736,-0,1
0.06,1,-1.00119749901104,0.00181392703891331,-0.000618901220844439,-1.21811438579439e-18,1
0.06,1.01,-1.00413624417454,0.00496300289090977,-0.000829182101968793,-0,1
0.06,1.02,-1.00332177597337,0.00256536371403949,0.000754035392332667,-7.85508962157701e-19,1
0.07,0.97,-0.994065915058358,-0.00499330202787892,-0.000943409999178971,-0,1
0.07,0.98,-0.996928952293701,-0.00201994043728704,-0.00105368208840853,-7.08170107710909e-19,1
0.07,0.99,-1.00068315804856,0.00228888710346368,-0.00160825155856148,-0,1
0.07,1,-1.00372379177546,0.00559725074972571,-0.00187593192432317,-5.70934577310151e-19,1
0.07,1.01,-0.999829776272526,-0.00148453693241393,0.00131188933484669,-2.56352388501374e-19,1
0.07,1.02,-1.00495099630621,0.00500660627061797,-5.79867286251946e-05,-4.67593033463909e-19,1
0.07,1.03,-1.00878908107449,0.00959240484154132,-0.000805654193377262,-7.76293975916102e-22,1
0.08,0.96,0.989872419582013,0.00988531223781088,0.000244950579693471,-0,1
0.08,0.97,-0.992099973505289,-0.00789627785299812,-6.37754509192282e-06,-1.26837600459592e-18,1
0.08,0.98,-0.99125051135504,-0.0105676786699795,0.00181561639320527,-0,1
0.08,0.99,-1.00117270665618,0.00304421381278176,-0.00187403048942211,-6.66308663646018e-19,1
0.08,1,-1.00380303991742,0.00571396034516792,-0.00191339329222451,-4.45763036221034e-19,1
0.08,1.01,-0.999676884825904,-0.00174388194803364,0.00141834409255819,-0,1
0.08,1.02,-1.00380885713989,0.00329832060080319,0.000508159579676912,-6.78007532561312e-19,1
0.08,1.03,-1.00621060397521,0.00574522544630967,0.000463047289173563,-5.93889306438114e-19,1
0.09,0.96,-0.987894224501821,-0.012864982063295,0.000756524654452427,-0,1
0.09,0.97,-0.99269055970829,-0.00701333490249794,-0.000298734178466299,-1.14339966412916e-18,1
0.09,0.98,-0.997062221027801,-0.00183070005687636,-0.00110965331286216,-1.12861936417653e-19,1
0.09,0.99,-0.996589673757215,-0.00385878478959656,0.000445936337619931,-0,1
0.09,1,-0.996982417193841,-0.0045492445861463,0.00152919018943678,-0,1
0.09,1.01,-0.996995816511456,-0.00574782276457698,0.00274121589492938,-0,1
0.09,1.02,-1.00739414683452,0.00865154764504193,-0.00125977679112645,-0,1
0.09,1.03,-1.00885475900236,0.00968171904259533,-0.000829290102483434,-0,1
0.09,1.04,-1.01002555945125,0.0103282832777007,-0.00030501001047372,-2.32118782617031e-19,1
0.1,0.95,-0.98707478169506,-0.0126089792840346,-0.000318979683357163,-1.41236316426018e-18,1
0.1,0.96,-0.986887147176481,-0.0143358953884064,0.00122035908323933,-5.55024314390179e-19,1
0.1,0.97,-0.989071711519076,-0.012501251495072,0.00157033658520213,-0,1
0.1,0.98,-0.989965015075474,-0.0125166397603488,0.00247908202303259,-0,1
0.1,0.99,-0.991421671340188,-0.0115898462635878,0.00300899456493224,-4.71818882523096e-19,1
0.1,1,-0.997787827403859,-0.00330930472863401,0.00109465928331595,-4.41855543220629e-19,1
0.1,1.01,-1.00814218072793,0.0109893602411317,-0.00284960358817192,-3.13519482882207e-19,1
0.1,1.02,-1.0019492296921,0.000457474654891371,0.00148938011057831,-0,1
0.1,1.03,-1.00747243500229,0.00759029835541592,-0.000120192705234339,-0,1
0.1,1.04,-1.0083527604165,0.00779190539441792,0.00055856993073966,-0,1
0.11,0.95,-0.986973644105812,-0.0127829780154193,-0.000246117659401506,-3.69415410748847e-19,1
0.11,0.96,-0.988422303438548,-0.0120810894411153,0.000500711294608869,-0,1
