zeta,omega_ratio,solution_1,solution_2,solution_3,power,test_FLAG
0.01,1,0.999754655516388,0.000369105482007009,-0.000121288547485391,-8.79500523430477e-19,1
0.02,0.99,0.997420910622743,0.00260953981314005,-2.7928132483462e-05,-0,1
0.02,1,1.00129146307737,-0.00193466887672676,0.000645678193998914,-1.46266355673853e-19,1
0.03,0.99,0.998691859188417,0.0007076815932132,0.000602981340700017,-0,1
0.03,1,0.998586920346324,0.00213405413217649,-0.000718502554870751,-0,1
0.03,1.01,1.00258025507101,-0.00262966655076737,5.18348920935428e-05,-0,1
0.04,0.99,0.99948597797745,-0.000508906506244658,0.00102545165600155,-1.18738841585598e-18,1
0.04,1,0.996840003909252,0.00474854593645781,-0.0015860776886773,-0,1
0.04,1.01,1.00069476564069,0.000203735784247353,-0.00089607821683926,-0,1
0.05,0.98,0.995825930338877,0.003673753204662,0.000502891304778372,-9.7440024912037e-19,1
0.05,0.99,0.999731507466877,-0.000881110307432745,0.00115212612232386,-1.18420181487969e-18,1
0.05,1,1.00292647415253,-0.0043838083416375,0.00145980644854189,-0,1
0.05,1.01,1.00412796645584,-0.00496348854320261,0.000837945983354733,-3.672838281059e-19,1
0.05,1.02,1.00474496348239,-0.00467360466979808,-6.89829962925926e-05,-0,1
0.06,0.98,0.993192185214839,0.00764744536595314,-0.000837056644244105,-0,1
0.06,0.99,0.995251727020625,0.00585506006168266,-0.0011042644514956,-1.23223381684393e-19,1
0.06,1,0.997003786461599,0.00448181830623154,-0.00148313177799853,-7.615877799701e-19,1
0.06,1.01,0.999784125541344,0.00154831139808537,-0.00133001288502539,-5.15741392479971e-19,1
0.06,1.02,1.00702960660775,-0.00812019359563554,0.00109296358007156,-2.57217880231066e-19,1
0.07,0.97,0.990748939007699,0.00994782327766691,-0.000694134370178742,-2.50528002391976e-19,1
0.07,0.98,0.991602943846401,0.00999436400409252,-0.00159473245188497,-1.09899100914579e-18,1
0.07,0.99,0.996541272342785,0.00393044618058671,-0.000469196276946618,-0,1
0.07,1,1.0023317432355,-0.00351413880617903,0.00118486871753488,-8.81535833861713e-19,1
0.07,1.01,1.00079531856946,2.53368718561054e-05,-0.000818231142029467,-8.35069519027132e-19,1
0.07,1.02,1.00289647055918,-0.00189598736160442,-0.000998107573045708,-0,1
0.07,1.03,1.00789806649436,-0.00823507552416745,0.0003393386333648,-0,1
0.08,0.97,0.992333177173543,0.00755672415716103,0.000112727167034345,-8.85128805782645e-19,1
0.08,0.98,0.998716602016648,-0.00067825406566226,0.00196422752913141,-1.10307044646657e-18,1
0.08,0.99,1.00156436534187,-0.00360210458199512,0.0020402614019609,-0,1
0.08,1,0.995433018332744,0.00685950878629836,-0.00229005498062571,-0,1
0.08,1.01,1.00553534876945,-0.00707129550032963,0.00153837049710601,-1.23903136157638e-19,1
0.08,1.02,1.00165468569882,-6.94137992571556e-05,-0.00158289484632907,-6.85433708394386e-19,1
0.08,1.03,1.00764379312418,-0.00784668224911705,0.000205218453015571,-0,1
0.09,0.96,0.991479523129086,0.00746922497965426,0.00105393450502961,-0,1
0.09,0.97,0.988505474574132,0.0133172376541322,-0.00182008447904792,-6.68689747381236e-20,1
